mes_ref;company_id;tipo_doc;max_valor_boleto;avg_valor_boleto;total_valor_boleto;valor_boleto_stdv;qtd_boleto_pago;qtd_boleto_total;qtd_boleto_estorno;qnt_cc_total;tempo_credenciamento;conta_bnk_repetida;fraude
01/04/2020;5e7905412fb0df1f86518f6a;cnpj;"899,25";"899,25";"1798,5";0;1;2;0;4;11;0;0
01/04/2020;5ea731b2bb56db371e9b0a35;cnpj;"19,99";"19,99";"259,87";0;6;13;0;9;10;0;0
01/05/2020;5ea6105fe948f1165d905d32;cnpj;"172,7";"84,53";"253,59";"76,44";1;3;0;5;10;0;0
01/05/2020;5ebaf1d0e1150b2c15464a2e;cnpj;73;73;73;0;1;1;0;11;10;0;0
01/05/2020;5eca696d537d2d409148944d;cpf;960;"553,33";1660;"382,8";0;3;0;0;9;0;0
01/05/2020;5eb02a1ae26bc2471e8257f4;cnpj;600;420;1260;"311,77";0;3;0;1;10;0;0
01/05/2020;5ebe864a35d9af58ad440921;cnpj;"219,6";"190,31";"1141,9";"29,46";0;6;0;0;9;0;0
01/06/2020;5eda5953ae313644ac8e1e2f;cnpj;10;10;10;0;0;1;0;11;9;0;0
01/06/2020;5e81f86ae4ceb07990623ab6;cnpj;425;"306,5";613;"167,58";2;2;0;20;11;0;0
01/05/2020;5eb2c5fff7d2293e2eae4ca2;cpf;600;"256,62";2053;"245,55";6;8;0;42;10;0;0
01/05/2020;5ecda88149df025051f8530a;cnpj;"66,5";"66,5";"66,5";0;0;1;0;7;9;0;0
01/06/2020;5ec951185f982853232d0eab;cnpj;"455,7";"429,8";"1289,4";"44,86";2;3;0;55;9;0;0
01/06/2020;5ec5a2edf5c77246c29fda5c;cpf;10;10;10;0;1;1;0;15;9;0;0
01/06/2020;5e8f165827f3597fb38777df;cnpj;"722,54";"317,76";"1271,06";"275,77";4;4;0;12;11;0;0
01/06/2020;5e7e508f03cfe831e3703c26;cnpj;494;"185,99";"11159,45";"76,29";45;60;0;10;11;0;0
01/06/2020;5ea9a7555615e8219051f41e;cnpj;198;198;198;0;1;1;0;46;10;0;0
01/06/2020;5e1ce2da76be40345e04dead;cnpj;2189;"437,81";"3064,7";"776,06";6;7;0;25;11;0;0
01/06/2020;5eaac728899f2e3a6d8311ff;cnpj;160;160;320;0;1;2;0;17;10;0;0
01/06/2020;5e7a74ce3c9468259a3cb097;cnpj;96;76;152;"28,28";2;2;0;7;11;0;0
01/06/2020;5eaaf6240f9d575b5c91bad5;cnpj;"1067,6";"252,9";"1770,3";"372,33";7;7;0;20;10;0;0
01/06/2020;5eda5f14bf001b2e4b33e0bb;cnpj;"161,91";"161,91";"161,91";0;1;1;0;121;9;0;0
01/06/2020;5ea1c6174078421cf2ea6744;cnpj;"567,56";"305,28";"2442,31";"246,79";6;8;0;23;10;0;0
01/07/2020;5ed91e0f7774ef04ea4c8ef7;cpf;213;"172,5";690;27;3;4;0;28;9;0;0
01/07/2020;5ef60c4f6c46590f7a346f38;cnpj;890;745;2980;"186,28";3;4;0;18;8;0;0
